구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,5221,142.28395061728395,547453,542364,5089,67085,0.9295775162434036,12.254019979797352,0.9536891751438024,2586.344483111444
관악구,3985,716.2790697674419,520040,501957,18083,72249,3.47723252057534,13.892969771556036,0.7662872086762557,1428.5374260648568
송파구,1586,133.16666666666669,673507,666635,6872,81364,1.0203308948533572,12.080646526316727,0.23548381828251227,1408.2124143842525
도봉구,858,297.9695431472081,341649,339413,2236,55964,0.6544728654262122,16.380554311588792,0.251134936733314,1189.6194233714577
강서구,1617,513.6986301369863,603611,596949,6662,79660,1.103690953279513,13.197241269625637,0.2678877621514518,1177.840804539589
중랑구,1068,,408147,403209,4938,61830,1.209858212849782,15.14895368580438,0.2616704275665385,1169.2985654031963
구로구,3227,212.08920187793424,438486,404497,33989,61801,7.751444743959898,14.094178605474292,0.7359413983570741,903.1623583824671
노원구,1906,229.72972972972974,548160,543752,4408,77096,0.8041447752481027,14.06450671336836,0.34770869819030936,730.672166312846
강북구,1265,326.3374485596708,322915,319164,3751,58196,1.1616059953857827,18.022080113961877,0.39174395738816714,729.1824922333392
성동구,2679,268.7218045112782,316463,308221,8242,42767,2.6044118901735747,13.514060095492997,0.8465444617538228,703.2212165156275
성북구,3003,235.68677792041078,447687,435868,11819,67782,2.6400141170058546,15.14048877899068,0.6707811484362959,652.9173918295783
광진구,1581,209.7872340425532,371063,355559,15504,45619,4.178266224333873,12.29413873115886,0.42607320050773045,550.5200261523169
서초구,2835,114.67576791808874,438163,433951,4212,54751,0.9612860967265607,12.49557812960017,0.6470194881813389,512.0836847814003
은평구,2962,103.66300366300368,487666,483197,4469,77420,0.9164059007599463,15.875619788953916,0.60738292191787,497.881143832843
동작구,1780,596.6386554621849,409385,396203,13182,59479,3.2199518790380695,14.528866470437363,0.4347985392723231,460.8298411984879
강동구,1879,348.1848184818482,431920,427573,4347,58770,1.0064363771068716,13.606686423411743,0.4350342656047416,426.1087588454134
양천구,2775,214.63730569948189,468145,464185,3960,58045,0.8458917643037948,12.398936227023679,0.5927650621068259,366.5629166922008
용산구,2063,33.69820172009382,245090,228999,16091,37640,6.5653433432616595,15.357623730058345,0.8417316087967684,290.80582664271856
영등포구,2495,1542.4242424242425,403600,367778,35822,55673,8.87561942517344,13.79410307234886,0.6181863230921705,270.671314274663
마포구,1935,200.5128205128205,386359,375077,11282,50833,2.9200820998087273,13.156934353800482,0.5008295393662371,240.15039332903598
금천구,1634,4992.592592592592,254021,233917,20104,35739,7.914306297510835,14.069309230339226,0.6432539042047705,163.66899090796664
서대문구,2121,196.28318584070797,323080,310313,12767,50456,3.9516528414015104,15.61718459824192,0.6564937476785935,126.34686115420277
동대문구,2003,,364338,348052,16286,57165,4.470025086595414,15.690100950216557,0.5497642299183725,109.33761119001065
중구,1544,4960.0,135633,125725,9908,22005,7.305006893602589,16.223927805180153,1.1383660318654014,84.02137973255662
종로구,1471,10712.5,163026,153065,9961,26742,6.110068332658594,16.40351845717861,0.9023100609718695,67.11451514661917
